Date,Spotify,Netflix,YouTube,Twitch (service),Disney+
2019-01,132638,540456,1087139,0,112702
2019-02,134929,369452,889248,0,118818
2019-03,145855,407707,1036242,0,167839
2019-04,138610,388089,1034171,0,252677
2019-05,127287,384291,1055517,0,0
2019-06,114093,430659,908969,0,119010
2019-07,121365,465992,988629,0,209253
2019-08,123389,403130,1002535,0,404525
2019-09,126293,429751,1046669,0,255658
2019-10,141545,460599,1197125,23977,327934
2019-11,143216,450426,1617967,90424,933433
2019-12,185246,461781,1778471,112003,348031
2020-01,139538,496682,1197476,111913,232954
2020-02,136985,413134,973024,103512,184709
2020-03,134268,491128,1035481,137490,272417
2020-04,164764,735911,1352992,210483,253976
2020-05,202107,635596,1395573,190512,197519
2020-06,161954,475258,1156479,173478,153173
2020-07,178812,472408,1179718,154927,161858
2020-08,169417,447408,1205411,146877,166787
2020-09,190911,518002,1289529,168330,174312
2020-10,174441,570987,1466797,211992,149676
2020-11,182545,644880,1609316,258114,199623
2020-12,215125,761384,1681205,265696,317057
2021-01,178402,663586,1588974,241774,266867
2021-02,182441,526899,1581497,248611,260594
2021-03,181665,584701,1691460,264196,270759
2021-04,210116,475040,1029252,174047,202238
2021-05,136890,373888,804731,94219,184554
2021-06,111047,330196,712052,78946,169897
2021-07,237575,899950,2664242,319414,322830
2021-08,212805,821439,2543958,303018,260622
2021-09,223865,885633,2386656,256412,233602
2021-10,213524,936367,2309859,308138,226869
2021-11,215714,772074,2281482,239816,258336
2021-12,230623,827686,2490112,263820,252041
