,action-adventure_game,racing_video_game,action_game,platform_game,puzzle_video_game,shoot_'em_up,adventure_game,role-playing_video_game,science_fiction_video_game,first-person_shooter,sports_video_game,visual_novel,indie_game
0,21078112.0,3833782.0,15776816.0,12823771.0,6020084.0,6216997.0,9603059.0,8285176.0,7232328.0,8470426.0,2637285.0,1716803.0,8174650.0
1,18190465.0,3421738.0,13500198.0,10997641.0,5130817.0,5224861.0,7967089.0,7316372.0,6275402.0,7967675.0,2615409.0,1508233.0,7294164.0
2,24009540.0,3995808.0,15503313.0,12918494.0,5725841.0,6277233.0,8987768.0,8620368.0,7656922.0,12020184.0,2487448.0,1649490.0,8463341.0
3,28754027.0,5080050.0,18867462.0,14938802.0,6800182.0,7095543.0,10881668.0,12486837.0,10079612.0,12347584.0,2580062.0,2003494.0,9597789.0
4,29192449.0,4878953.0,19012650.0,14803330.0,6341135.0,6954233.0,10238870.0,9989282.0,8761926.0,10715658.0,2803942.0,1979320.0,8794859.0
5,26822763.0,4366440.0,18601378.0,13585118.0,5710849.0,5801535.0,8750638.0,8197269.0,7826553.0,9596858.0,2173187.0,1749472.0,7898191.0
6,26035727.0,4520226.0,17532955.0,12947686.0,5722555.0,5604261.0,8769576.0,8536129.0,8410041.0,9920604.0,2011030.0,1814625.0,8058429.0
7,22778474.0,4320648.0,17164159.0,12820903.0,5502462.0,5710996.0,9169583.0,8042394.0,7662405.0,9135845.0,2229137.0,1762851.0,7830251.0
8,20582481.0,3792122.0,16342440.0,12974898.0,5461093.0,5514770.0,8627906.0,8277071.0,7150526.0,8497364.0,2335745.0,1687760.0,7819359.0
9,21983329.0,4093456.0,18250453.0,14007596.0,6218358.0,5902024.0,9468653.0,9250358.0,7743378.0,8695642.0,2239131.0,1889840.0,8756388.0
10,22988928.0,4052023.0,17521833.0,13043207.0,6206429.0,5748127.0,9377661.0,8114301.0,8037436.0,9386843.0,2081585.0,1834675.0,8077263.0
11,24759268.0,4246543.0,21307228.0,13400555.0,5891861.0,6050159.0,10539187.0,9147510.0,11056460.0,9600316.0,2047816.0,1902841.0,8674992.0
