Date,"Roblox","Minecraft","Grand Theft Auto V","League of Legends","Fortnite","Call of Duty","Dead by Daylight"
2019-01,91031,196860,190244,90217,409423,155953,45628
2019-02,87537,146114,153573,76517,344282,136354,31695
2019-03,86209,182002,166695,78786,277215,159562,36899
2019-04,72363,158230,163530,77435,246045,126619,36316
2019-05,97140,231640,166784,84794,244785,213649,46206
2019-06,94938,178784,166496,81571,193639,192185,60605
2019-07,91563,252061,190324,75138,297745,144822,62184
2019-08,112874,299633,189996,81779,226613,170194,83556
2019-09,165811,281244,168902,79148,154907,184179,67925
2019-10,159509,279208,177197,138697,437115,370888,66690
2019-11,150621,257995,175674,116362,192842,278694,58441
2019-12,231740,288267,205280,105036,200763,214882,51546
2020-01,185720,297154,219229,113158,179838,214436,58277
2020-02,148232,286632,183134,90319,161751,180566,56606
2020-03,204567,378211,246172,102318,189587,297588,63517
2020-04,308899,488642,368154,139108,270700,400714,77519
2020-05,291832,489670,453243,116994,299152,338577,88606
2020-06,280235,434468,352214,110892,268275,294958,81282
2020-07,294915,420135,272730,135506,246482,234384,81156
2020-08,349724,450161,241607,130276,301381,299506,82129
2020-09,492361,446348,247237,110738,238643,285900,79504
2020-10,402407,518936,230011,137925,194597,257594,87326
2020-11,453536,426635,245194,135526,180255,400307,80507
2020-12,479531,443090,287263,105004,197368,296785,79382
2021-01,411100,466258,278221,103596,167548,249119,84041
2021-02,372806,413805,214074,81773,146390,226151,64507
2021-03,525952,447542,227642,93848,178006,251600,78137
2021-04,304352,377348,223521,136460,132074,227118,71437
2021-05,252567,393084,254718,68905,128280,231664,72248
2021-06,218960,374635,236739,58333,107482,202602,72629
2021-07,398947,408426,288344,108814,111848,244453,83253
2021-08,397033,375058,258944,114040,125861,300572,91698
2021-09,344336,372870,237490,106397,136798,234801,74738
2021-10,469572,336056,234694,118460,127526,220365,82576
2021-11,398191,356785,238891,434796,129498,295284,65190
2021-12,439586,437400,225680,306096,181238,219714,86033
