Dota 2,isPartial
24,False
27,False
36,False
41,False
35,False
28,False
30,False
27,False
37,False
31,False
28,False
27,False
24,False
21,False
22,False
23,False
23,False
42,False
36,False
31,False
36,False
27,False
29,False
31,False
41,False
37,False
37,False
28,False
26,False
23,False
31,False
57,False
100,False
64,False
32,False
28,False
34,False
28,False
26,False
26,False
22,False
25,False
22,False
20,False
21,False
26,False
47,False
33,False
23,False
28,False
22,False
19,False
21,False
22,False
30,False
32,False
24,False
32,False
25,False
21,False
23,False
22,False
26,False
26,False
27,False
35,False
33,False
33,False
34,False
31,False
30,False
30,False
51,False
33,False
32,False
33,False
36,False
34,False
28,False
34,False
26,False
28,False
26,False
23,False
28,False
28,False
29,False
27,False
24,False
23,False
18,False
19,False
20,False
19,False
21,False
19,False
19,False
22,False
19,False
19,False
22,False
36,False
23,False
20,False
