Euro Truck Simulator 2,isPartial
69,False
68,False
64,False
64,False
64,False
62,False
57,False
52,False
50,False
48,False
54,False
56,False
51,False
50,False
56,False
53,False
52,False
56,False
54,False
57,False
61,False
58,False
63,False
59,False
59,False
67,False
65,False
62,False
57,False
57,False
58,False
58,False
52,False
50,False
50,False
48,False
49,False
45,False
45,False
49,False
45,False
46,False
51,False
48,False
51,False
57,False
58,False
69,False
68,False
67,False
86,False
71,False
60,False
59,False
61,False
60,False
58,False
58,False
54,False
49,False
44,False
51,False
72,False
94,False
100,False
93,False
93,False
94,False
91,False
86,False
72,False
72,False
76,False
68,False
58,False
58,False
57,False
59,False
61,False
60,False
61,False
53,False
49,False
47,False
59,False
52,False
51,False
51,False
48,False
50,False
48,False
52,False
54,False
49,False
55,False
51,False
52,False
58,False
55,False
61,False
56,False
59,False
69,False
73,False
