POSTAL,isPartial
78,False
76,False
72,False
74,False
72,False
74,False
75,False
72,False
72,False
75,False
81,False
74,False
81,False
78,False
72,False
70,False
73,False
75,False
75,False
80,False
76,False
81,False
77,False
78,False
78,False
78,False
79,False
79,False
74,False
77,False
77,False
75,False
78,False
79,False
80,False
82,False
75,False
76,False
75,False
78,False
80,False
77,False
79,False
81,False
83,False
83,False
79,False
87,False
86,False
82,False
69,False
64,False
78,False
78,False
78,False
78,False
76,False
77,False
75,False
73,False
79,False
71,False
69,False
68,False
68,False
70,False
74,False
69,False
73,False
79,False
81,False
79,False
85,False
84,False
83,False
83,False
85,False
100,False
96,False
86,False
88,False
95,False
96,False
92,False
90,False
84,False
88,False
88,False
85,False
82,False
81,False
82,False
76,False
80,False
79,False
79,False
85,False
83,False
84,False
84,False
87,False
95,False
82,False
76,False
