Team Fortress 2,isPartial
50,False
44,False
49,False
42,False
53,False
42,False
46,False
43,False
46,False
46,False
47,False
47,False
47,False
43,False
42,False
43,False
41,False
41,False
40,False
37,False
43,False
44,False
47,False
43,False
53,False
54,False
58,False
51,False
69,False
62,False
50,False
46,False
47,False
39,False
45,False
36,False
47,False
46,False
42,False
55,False
45,False
47,False
48,False
47,False
49,False
47,False
45,False
40,False
46,False
49,False
50,False
50,False
43,False
55,False
47,False
45,False
42,False
47,False
49,False
47,False
44,False
45,False
62,False
69,False
64,False
76,False
97,False
100,False
75,False
79,False
63,False
67,False
59,False
68,False
57,False
64,False
61,False
68,False
76,False
66,False
61,False
62,False
58,False
66,False
70,False
65,False
69,False
71,False
56,False
59,False
63,False
63,False
56,False
52,False
51,False
46,False
48,False
48,False
50,False
52,False
52,False
46,False
50,False
56,False
