War Thunder,isPartial
61,False
60,False
54,False
57,False
55,False
53,False
58,False
62,False
64,False
65,False
57,False
48,False
64,False
60,False
59,False
53,False
53,False
60,False
57,False
50,False
57,False
49,False
48,False
46,False
50,False
49,False
48,False
47,False
47,False
48,False
50,False
54,False
57,False
61,False
63,False
65,False
59,False
55,False
51,False
49,False
53,False
57,False
60,False
51,False
48,False
49,False
53,False
50,False
52,False
58,False
61,False
56,False
52,False
50,False
50,False
52,False
47,False
55,False
58,False
61,False
65,False
62,False
81,False
82,False
97,False
88,False
85,False
81,False
88,False
83,False
86,False
85,False
80,False
75,False
71,False
64,False
67,False
68,False
63,False
62,False
62,False
65,False
67,False
64,False
67,False
70,False
68,False
67,False
60,False
63,False
63,False
56,False
56,False
61,False
89,False
77,False
74,False
100,False
79,False
72,False
69,False
72,False
82,False
92,False
